device: cuda:0
CataphoraDataset, loading data from file: /home/cheung.179/cataphora_data/Kazanina07.tsv
text: It was clear to her that Sue would win the scholarship, but Ben decided to apply for it anyway. , set_id: K07_1_F , condition_id: U
text: It seemed troubling to him that Mark listened to such loud music, but Irene was fine with it as long as the chores got done. , set_id: K07_29_M , condition_id: U
text: It seemed troubling to him that Irene listened to such loud music, but Mark was fine with it as long as the chores got done. , set_id: K07_29_M , condition_id: A
text: It seemed admirable to her that Stacy volunteered to feed the homeless, but Nathan didn't have time to help out. , set_id: K07_30_F , condition_id: U
text: It seemed admirable to her that Nathan volunteered to feed the homeless, but Stacy didn't have time to help out. , set_id: K07_30_F , condition_id: A
text: It seemed admirable to him that Nathan volunteered to feed the homeless, but Stacy didn't have time to help out. , set_id: K07_30_M , condition_id: U
text: It seemed admirable to him that Stacy volunteered to feed the homeless, but Nathan didn't have time to help out. , set_id: K07_30_M , condition_id: A
text: It was frightening to her that Amanda was going skydiving, but Paul still thought about joining in. , set_id: K07_31_F , condition_id: U
text: It was frightening to her that Paul was going skydiving, but Amanda still thought about joining in. , set_id: K07_31_F , condition_id: A
text: It was frightening to him that Paul was going skydiving, but Amanda still thought about joining in. , set_id: K07_31_M , condition_id: U
text: It was frightening to him that Amanda was going skydiving, but Paul still thought about joining in. , set_id: K07_31_M , condition_id: A
text: It was puzzling to her that Nancy was not interested in dancing, but Tommy had asked about it and now understood why. , set_id: K07_32_F , condition_id: U
text: It was puzzling to her that Tommy was not interested in dancing, but Nancy had asked about it and now understood why. , set_id: K07_32_F , condition_id: A
text: It was puzzling to him that Tommy was not interested in dancing, but Nancy had asked about it and now understood why. , set_id: K07_32_M , condition_id: U
text: It was puzzling to him that Nancy was not interested in dancing, but Tommy had asked about it and now understood why. , set_id: K07_32_M , condition_id: A
