device: cuda:0
CataphoraDataset, loading data from file: /home/cheung.179/cataphora_data/Kazanina07.tsv
text: It was clear to her that Sue would win the scholarship, but Ben decided to apply for it anyway. , set_id: K07_1_F , condition_id: U , loss: 3.788001537322998
text: It seemed troubling to him that Irene listened to such loud music, but Mark was fine with it as long as the chores got done. , set_id: K07_29_M , condition_id: A , loss: 4.12266731262207
text: It seemed admirable to her that Stacy volunteered to feed the homeless, but Nathan didn't have time to help out. , set_id: K07_30_F , condition_id: U , loss: 4.327549457550049
text: It seemed admirable to her that Nathan volunteered to feed the homeless, but Stacy didn't have time to help out. , set_id: K07_30_F , condition_id: A , loss: 4.2911601066589355
text: It seemed admirable to him that Nathan volunteered to feed the homeless, but Stacy didn't have time to help out. , set_id: K07_30_M , condition_id: U , loss: 4.356400966644287
text: It seemed admirable to him that Stacy volunteered to feed the homeless, but Nathan didn't have time to help out. , set_id: K07_30_M , condition_id: A , loss: 4.3532280921936035
text: It was frightening to her that Amanda was going skydiving, but Paul still thought about joining in. , set_id: K07_31_F , condition_id: U , loss: 4.417529106140137
text: It was frightening to her that Paul was going skydiving, but Amanda still thought about joining in. , set_id: K07_31_F , condition_id: A , loss: 4.358351230621338
text: It was frightening to him that Paul was going skydiving, but Amanda still thought about joining in. , set_id: K07_31_M , condition_id: U , loss: 4.495688438415527
text: It was frightening to him that Amanda was going skydiving, but Paul still thought about joining in. , set_id: K07_31_M , condition_id: A , loss: 4.377724647521973
text: It was puzzling to her that Nancy was not interested in dancing, but Tommy had asked about it and now understood why. , set_id: K07_32_F , condition_id: U , loss: 4.183310031890869
text: It was puzzling to her that Tommy was not interested in dancing, but Nancy had asked about it and now understood why. , set_id: K07_32_F , condition_id: A , loss: 4.123260021209717
text: It was puzzling to him that Tommy was not interested in dancing, but Nancy had asked about it and now understood why. , set_id: K07_32_M , condition_id: U , loss: 4.231319427490234
text: It was puzzling to him that Nancy was not interested in dancing, but Tommy had asked about it and now understood why. , set_id: K07_32_M , condition_id: A , loss: 4.214221477508545
