	high_loss_example	low_loss_example	set_id	cataphora_condition	item_num	gpt2:high_loss	gpt2:low_loss	gpt2:loss_diff
17	he got up from his spot on the couch when Andrew heard shouting outside the house.	Andrew got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.8516054153442383	3.0270605087280273	0.8245449066162109
18	he got up from his spot on the couch when James heard shouting outside the house.	James got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.788832664489746	3.0573744773864746	0.7314581871032715
19	he got up from his spot on the couch when John heard shouting outside the house.	John got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.7416133880615234	3.0646743774414062	0.6769390106201172
20	he got up from his spot on the couch when Christopher heard shouting outside the house.	Christopher got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.780208110809326	3.005906820297241	0.774301290512085
21	he got up from his spot on the couch when Brian heard shouting outside the house.	Brian got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.8287343978881836	3.009072780609131	0.8196616172790527
22	he got up from his spot on the couch when Mark heard shouting outside the house.	Mark got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.780658721923828	3.1258199214935303	0.6548388004302979
23	he got up from his spot on the couch when Richard heard shouting outside the house.	Richard got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.750967502593994	3.053730010986328	0.697237491607666
24	he got up from his spot on the couch when Jeffrey heard shouting outside the house.	Jeffrey got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.951357364654541	3.2903671264648438	0.6609902381896973
25	he got up from his spot on the couch when Scott heard shouting outside the house.	Scott got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.7024736404418945	3.1050446033477783	0.5974290370941162
26	he got up from his spot on the couch when Jason heard shouting outside the house.	Jason got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.863386631011963	3.0211615562438965	0.8422250747680664
27	he got up from his spot on the couch when Kevin heard shouting outside the house.	Kevin got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.8409018516540527	3.074878692626953	0.7660231590270996
28	he got up from his spot on the couch when Steven heard shouting outside the house.	Steven got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.7416324615478516	3.117433786392212	0.6241986751556396
29	he got up from his spot on the couch when Thomas heard shouting outside the house.	Thomas got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.782917022705078	3.0697152614593506	0.7132017612457275
30	he got up from his spot on the couch when Eric heard shouting outside the house.	Eric got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.760436534881592	3.0195717811584473	0.7408647537231445
31	he got up from his spot on the couch when Daniel heard shouting outside the house.	Daniel got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.776919364929199	3.038665294647217	0.7382540702819824
32	he got up from his spot on the couch when Timothy heard shouting outside the house.	Timothy got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	4.002496719360352	3.426840305328369	0.5756564140319824
33	he got up from his spot on the couch when Paul heard shouting outside the house.	Paul got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.760822296142578	3.1189823150634766	0.6418399810791016
34	he got up from his spot on the couch when Kenneth heard shouting outside the house.	Kenneth got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	4.008299827575684	3.3550145626068115	0.6532852649688721
35	he got up from his spot on the couch when Gregory heard shouting outside the house.	Gregory got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.7981410026550293	3.2696595191955566	0.5284814834594727
36	he got up from his spot on the couch when Stephen heard shouting outside the house.	Stephen got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.8823208808898926	3.093047618865967	0.7892732620239258
37	he got up from his spot on the couch when Todd heard shouting outside the house.	Todd got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.846120834350586	3.036376953125	0.8097438812255859
38	he got up from his spot on the couch when Ronald heard shouting outside the house.	Ronald got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.897895336151123	3.375030040740967	0.5228652954101562
39	he got up from his spot on the couch when Patrick heard shouting outside the house.	Patrick got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.863999843597412	3.0597546100616455	0.8042452335357666
40	he got up from his spot on the couch when Gary heard shouting outside the house.	Gary got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.852813720703125	3.1229848861694336	0.7298288345336914
41	he got up from his spot on the couch when Douglas heard shouting outside the house.	Douglas got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.874997615814209	3.4499385356903076	0.42505908012390137
42	he got up from his spot on the couch when Keith heard shouting outside the house.	Keith got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.843311309814453	3.0251846313476562	0.8181266784667969
43	he got up from his spot on the couch when Craig heard shouting outside the house.	Craig got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.891171455383301	3.0735480785369873	0.8176233768463135
44	he got up from his spot on the couch when George heard shouting outside the house.	George got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.737182140350342	3.0840868949890137	0.6530952453613281
45	he got up from his spot on the couch when Larry heard shouting outside the house.	Larry got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.8996071815490723	3.086845874786377	0.8127613067626953
46	he got up from his spot on the couch when Peter heard shouting outside the house.	Peter got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.8327479362487793	3.0852103233337402	0.7475376129150391
47	he got up from his spot on the couch when Jerry heard shouting outside the house.	Jerry got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.902855396270752	3.0781822204589844	0.8246731758117676
48	he got up from his spot on the couch when Dennis heard shouting outside the house.	Dennis got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.909909725189209	3.4995603561401367	0.41034936904907227
49	he got up from his spot on the couch when Bradley heard shouting outside the house.	Bradley got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.882721424102783	3.2057108879089355	0.6770105361938477
50	he got up from his spot on the couch when Brad heard shouting outside the house.	Brad got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.919811248779297	3.113800048828125	0.8060111999511719
51	he got up from his spot on the couch when Frank heard shouting outside the house.	Frank got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.879673957824707	3.0531907081604004	0.8264832496643066
52	he got up from his spot on the couch when Raymond heard shouting outside the house.	Raymond got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.932887077331543	3.4436020851135254	0.4892849922180176
53	he got up from his spot on the couch when Chad heard shouting outside the house.	Chad got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.9385433197021484	3.185335159301758	0.7532081604003906
54	he got up from his spot on the couch when Aaron heard shouting outside the house.	Aaron got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.734203338623047	3.0342164039611816	0.6999869346618652
55	he got up from his spot on the couch when Rodney heard shouting outside the house.	Rodney got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.9600296020507812	3.2467904090881348	0.7132391929626465
56	he got up from his spot on the couch when Russell heard shouting outside the house.	Russell got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.7280073165893555	3.122025489807129	0.6059818267822266
57	he got up from his spot on the couch when Roger heard shouting outside the house.	Roger got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.9481301307678223	3.085073947906494	0.8630561828613281
58	he got up from his spot on the couch when Samuel heard shouting outside the house.	Samuel got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.8812222480773926	3.2906947135925293	0.5905275344848633
59	he got up from his spot on the couch when Gerald heard shouting outside the house.	Gerald got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.932793140411377	3.546503782272339	0.3862893581390381
60	he got up from his spot on the couch when Carl heard shouting outside the house.	Carl got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.85019588470459	3.0879454612731934	0.7622504234313965
61	he got up from his spot on the couch when Travis heard shouting outside the house.	Travis got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.868684768676758	3.4948477745056152	0.3738369941711426
62	he got up from his spot on the couch when Adam heard shouting outside the house.	Adam got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.8255186080932617	3.044342517852783	0.7811760902404785
63	he got up from his spot on the couch when Marcus heard shouting outside the house.	Marcus got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.7726054191589355	3.1312687397003174	0.6413366794586182
64	he got up from his spot on the couch when Phillip heard shouting outside the house.	Phillip got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.908320903778076	3.246950387954712	0.6613705158233643
65	he got up from his spot on the couch when Derek heard shouting outside the house.	Derek got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.858203887939453	3.3997714519500732	0.4584324359893799
66	he got up from his spot on the couch when Vincent heard shouting outside the house.	Vincent got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.8885955810546875	3.5930328369140625	0.295562744140625
67	he got up from his spot on the couch when Wayne heard shouting outside the house.	Wayne got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.904019355773926	3.336012840270996	0.5680065155029297
68	he got up from his spot on the couch when Benjamin heard shouting outside the house.	Benjamin got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.8936004638671875	3.3800017833709717	0.5135986804962158
69	he got up from his spot on the couch when Joel heard shouting outside the house.	Joel got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.833742141723633	3.1963469982147217	0.6373951435089111
70	he got up from his spot on the couch when Lawrence heard shouting outside the house.	Lawrence got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.8877997398376465	3.4457716941833496	0.4420280456542969
71	he got up from his spot on the couch when Curtis heard shouting outside the house.	Curtis got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.8524956703186035	3.2482821941375732	0.6042134761810303
72	he got up from his spot on the couch when Walter heard shouting outside the house.	Walter got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.9051098823547363	3.2430009841918945	0.6621088981628418
73	he got up from his spot on the couch when Alan heard shouting outside the house.	Alan got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.8764429092407227	3.0963239669799805	0.7801189422607422
74	he got up from his spot on the couch when Martin heard shouting outside the house.	Martin got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.734297275543213	3.0886576175689697	0.6456396579742432
75	he got up from his spot on the couch when Homer heard shouting outside the house.	Homer got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.893500328063965	3.430032968521118	0.4634673595428467
76	he got up from his spot on the couch when Bruce heard shouting outside the house.	Bruce got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.7801156044006348	3.1017520427703857	0.678363561630249
77	he got up from his spot on the couch when Carlos heard shouting outside the house.	Carlos got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.8007054328918457	3.258110523223877	0.5425949096679688
78	he got up from his spot on the couch when Brett heard shouting outside the house.	Brett got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.947751522064209	3.4247796535491943	0.5229718685150146
79	he got up from his spot on the couch when Alexander heard shouting outside the house.	Alexander got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.802705764770508	3.0354483127593994	0.7672574520111084
80	he got up from his spot on the couch when Omar heard shouting outside the house.	Omar got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.9455690383911133	3.5096778869628906	0.43589115142822266
81	he got up from his spot on the couch when Guy heard shouting outside the house.	Guy got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.9155001640319824	3.004093885421753	0.9114062786102295
82	he got up from his spot on the couch when Dan heard shouting outside the house.	Dan got up from his spot on the couch when he heard shouting outside the house.	HB02	U	1	3.8432064056396484	3.0616297721862793	0.7815766334533691
83	she got up from her spot on the couch when Jennifer heard shouting outside the house.	Jennifer got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.6650304794311523	2.9453787803649902	0.7196516990661621
84	she got up from her spot on the couch when Lisa heard shouting outside the house.	Lisa got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.5925469398498535	2.8751580715179443	0.7173888683319092
85	she got up from her spot on the couch when Kimberley heard shouting outside the house.	Kimberley got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.654944896697998	3.174121379852295	0.4808235168457031
86	she got up from her spot on the couch when Michelle heard shouting outside the house.	Michelle got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.6112256050109863	2.9340503215789795	0.6771752834320068
87	she got up from her spot on the couch when Amy heard shouting outside the house.	Amy got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.4882264137268066	2.920255184173584	0.5679712295532227
88	she got up from her spot on the couch when Angela heard shouting outside the house.	Angela got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.6208481788635254	3.181475877761841	0.43937230110168457
89	she got up from her spot on the couch when Melissa heard shouting outside the house.	Melissa got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.5314431190490723	3.1547086238861084	0.37673449516296387
90	she got up from her spot on the couch when Tammy heard shouting outside the house.	Tammy got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.65073823928833	3.115602970123291	0.5351352691650391
91	she got up from her spot on the couch when Mary heard shouting outside the house.	Mary got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.6502976417541504	2.9891748428344727	0.6611227989196777
92	she got up from her spot on the couch when Tracy heard shouting outside the house.	Tracy got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.7724032402038574	3.135505199432373	0.6368980407714844
93	she got up from her spot on the couch when Julie heard shouting outside the house.	Julie got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.689634323120117	3.0391292572021484	0.6505050659179688
94	she got up from her spot on the couch when Karen heard shouting outside the house.	Karen got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.598057270050049	3.327808141708374	0.2702491283416748
95	she got up from her spot on the couch when Laura heard shouting outside the house.	Laura got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.5929789543151855	2.942493438720703	0.6504855155944824
96	she got up from her spot on the couch when Christine heard shouting outside the house.	Christine got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.677216053009033	3.1897079944610596	0.48750805854797363
97	she got up from her spot on the couch when Nina heard shouting outside the house.	Nina got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.776125907897949	3.314845323562622	0.46128058433532715
98	she got up from her spot on the couch when Susan heard shouting outside the house.	Susan got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.644690990447998	2.9473040103912354	0.6973869800567627
99	she got up from her spot on the couch when Dawn heard shouting outside the house.	Dawn got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.6906580924987793	3.4952385425567627	0.1954195499420166
100	she got up from her spot on the couch when Stephanie heard shouting outside the house.	Stephanie got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.73233699798584	3.1078453063964844	0.6244916915893555
101	she got up from her spot on the couch when Elizabeth heard shouting outside the house.	Elizabeth got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.556905746459961	2.968209743499756	0.5886960029602051
102	she got up from her spot on the couch when Bethany heard shouting outside the house.	Bethany got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.6485626697540283	3.2139506340026855	0.4346120357513428
103	she got up from her spot on the couch when Heather heard shouting outside the house.	Heather got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.6170296669006348	3.235823631286621	0.38120603561401367
104	she got up from her spot on the couch when Tina heard shouting outside the house.	Tina got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.648526668548584	3.3065805435180664	0.3419461250305176
105	she got up from her spot on the couch when Lori heard shouting outside the house.	Lori got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.702023506164551	3.2344894409179688	0.46753406524658203
106	she got up from her spot on the couch when Patricia heard shouting outside the house.	Patricia got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.6131415367126465	3.339000940322876	0.2741405963897705
107	she got up from her spot on the couch when Cynthia heard shouting outside the house.	Cynthia got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.666998863220215	3.1544454097747803	0.5125534534454346
108	she got up from her spot on the couch when Pamela heard shouting outside the house.	Pamela got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.658320426940918	2.9480600357055664	0.7102603912353516
109	she got up from her spot on the couch when Sandra heard shouting outside the house.	Sandra got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.7251267433166504	3.3846609592437744	0.340465784072876
110	she got up from her spot on the couch when Wendy heard shouting outside the house.	Wendy got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.6673874855041504	3.088334798812866	0.5790526866912842
111	she got up from her spot on the couch when Rebecca heard shouting outside the house.	Rebecca got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.621387481689453	3.242910146713257	0.3784773349761963
112	she got up from her spot on the couch when Becca heard shouting outside the house.	Becca got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.590777635574341	3.408714771270752	0.18206286430358887
113	she got up from her spot on the couch when Nicole heard shouting outside the house.	Nicole got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.6379332542419434	3.1259891986846924	0.511944055557251
114	she got up from her spot on the couch when Donna heard shouting outside the house.	Donna got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.6694374084472656	3.1712961196899414	0.4981412887573242
115	she got up from her spot on the couch when Deborah heard shouting outside the house.	Deborah got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.6979012489318848	3.3825161457061768	0.315385103225708
116	she got up from her spot on the couch when Teresa heard shouting outside the house.	Teresa got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.705336093902588	3.2124292850494385	0.4929068088531494
117	she got up from her spot on the couch when Christina heard shouting outside the house.	Christina got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.675955295562744	3.215858221054077	0.460097074508667
118	she got up from her spot on the couch when Denise heard shouting outside the house.	Denise got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.689785957336426	3.2381794452667236	0.45160651206970215
119	she got up from her spot on the couch when Sharon heard shouting outside the house.	Sharon got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.6819686889648438	3.3244259357452393	0.3575427532196045
120	she got up from her spot on the couch when Linda heard shouting outside the house.	Linda got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.6082534790039062	3.2544515132904053	0.353801965713501
121	she got up from her spot on the couch when Maria heard shouting outside the house.	Maria got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.5754709243774414	2.9132978916168213	0.6621730327606201
122	she got up from her spot on the couch when Brenda heard shouting outside the house.	Brenda got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.6542015075683594	2.9303359985351562	0.7238655090332031
123	she got up from her spot on the couch when Barbara heard shouting outside the house.	Barbara got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.6861143112182617	3.325488805770874	0.3606255054473877
124	she got up from her spot on the couch when Stacy heard shouting outside the house.	Stacy got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.787355899810791	3.270097255706787	0.5172586441040039
125	she got up from her spot on the couch when Andrea heard shouting outside the house.	Andrea got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.6061201095581055	3.3448572158813477	0.2612628936767578
126	she got up from her spot on the couch when Cheryl heard shouting outside the house.	Cheryl got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.7266111373901367	3.239009141921997	0.48760199546813965
127	she got up from her spot on the couch when Jessica heard shouting outside the house.	Jessica got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.6342344284057617	2.923448085784912	0.7107863426208496
128	she got up from her spot on the couch when Kathleen heard shouting outside the house.	Kathleen got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.7036638259887695	3.1639273166656494	0.5397365093231201
129	she got up from her spot on the couch when Rhonda heard shouting outside the house.	Rhonda got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.508042335510254	3.2619802951812744	0.2460620403289795
130	she got up from her spot on the couch when Debra heard shouting outside the house.	Debra got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.5689005851745605	3.1786956787109375	0.39020490646362305
131	she got up from her spot on the couch when Stacey heard shouting outside the house.	Stacey got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.4391300678253174	3.2742152214050293	0.16491484642028809
132	she got up from her spot on the couch when Tonya heard shouting outside the house.	Tonya got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.636212110519409	3.0649285316467285	0.5712835788726807
133	she got up from her spot on the couch when Nancy heard shouting outside the house.	Nancy got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.6363325119018555	3.2872650623321533	0.34906744956970215
134	she got up from her spot on the couch when Ruth heard shouting outside the house.	Ruth got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.717599391937256	3.365845203399658	0.35175418853759766
135	she got up from her spot on the couch when Grace heard shouting outside the house.	Grace got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.691524028778076	3.1193156242370605	0.5722084045410156
136	she got up from her spot on the couch when Florence heard shouting outside the house.	Florence got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.818105697631836	3.1617202758789062	0.6563854217529297
137	she got up from her spot on the couch when Lucille heard shouting outside the house.	Lucille got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.59716534614563	3.2533233165740967	0.3438420295715332
138	she got up from her spot on the couch when Jill heard shouting outside the house.	Jill got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.743602752685547	3.2702767848968506	0.4733259677886963
139	she got up from her spot on the couch when Theresa heard shouting outside the house.	Theresa got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.696521759033203	3.679288148880005	0.017233610153198242
140	she got up from her spot on the couch when Dana heard shouting outside the house.	Dana got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.6786060333251953	3.2628350257873535	0.4157710075378418
141	she got up from her spot on the couch when Monica heard shouting outside the house.	Monica got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.6598949432373047	3.156670093536377	0.5032248497009277
142	she got up from her spot on the couch when Paula heard shouting outside the house.	Paula got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.6855807304382324	3.1171960830688477	0.5683846473693848
143	she got up from her spot on the couch when Rachel heard shouting outside the house.	Rachel got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.5798983573913574	2.9364657402038574	0.6434326171875
144	she got up from her spot on the couch when Catherine heard shouting outside the house.	Catherine got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.697195529937744	3.3527586460113525	0.3444368839263916
145	she got up from her spot on the couch when Sherry heard shouting outside the house.	Sherry got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.453331470489502	3.521029472351074	-0.06769800186157227
146	she got up from her spot on the couch when Rachelle heard shouting outside the house.	Rachelle got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.716371536254883	3.135850191116333	0.5805213451385498
147	she got up from her spot on the couch when Gina heard shouting outside the house.	Gina got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.75996732711792	3.2208826541900635	0.5390846729278564
148	she got up from her spot on the couch when Ann heard shouting outside the house.	Ann got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.710132598876953	3.0963516235351562	0.6137809753417969
149	she got up from her spot on the couch when Anne heard shouting outside the house.	Anne got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.695648670196533	2.974440097808838	0.7212085723876953
150	she got up from her spot on the couch when Anna heard shouting outside the house.	Anna got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.540503978729248	2.8417909145355225	0.6987130641937256
151	she got up from her spot on the couch when Kristin heard shouting outside the house.	Kristin got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.557523012161255	3.0195908546447754	0.5379321575164795
152	she got up from her spot on the couch when Leslie heard shouting outside the house.	Leslie got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.6935462951660156	3.2875802516937256	0.40596604347229004
153	she got up from her spot on the couch when Sarah heard shouting outside the house.	Sarah got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.639014720916748	2.892242431640625	0.746772289276123
154	she got up from her spot on the couch when Sara heard shouting outside the house.	Sara got up from her spot on the couch when she heard shouting outside the house.	HB02	U	1	3.6446032524108887	3.21858811378479	0.42601513862609863
